-0.761,-1.21E+00,-1.02E-01,-2.37E+00,-1.06E+00,-2.2082,0.56384,1.2111,2.2103,0.44456,-1.1824,1.0429,-1.6056,1.3042,1.3718,1.7483,-0.23366,-1.5201,1.15E+00,1.04E-01,-3.72E-01,-6.15E-01,-1.26E-01,-2.27E+00,-0.71836,-1.2969
-0.61785,6.16E-01,-1.27E+00,1.86E+00,-9.19E-01,-5.50E-02,-0.3859,1.2952,-1.5684,-0.97026,-2.1833,-2.8503,-2.0773,1.6316,0.34902,1.83E+00,-2.4417,-8.56E-01,-2.98E-01,-2.08E+00,-1.29E+00,9.00E-01,2.83E-01,2.31E+00,-2.4644,1.4566
-0.68934,-1.95E+00,2.01E+00,-3.12E+00,-2.36E-01,1.39E+00,0.90982,-1.5477,-0.79831,-0.656,0.73538,-2.5859,0.47211,0.55349,2.5126,-2.4167,-1.639,1.20E+00,-1.20E+00,-1.83E+00,-1.88E+00,-3.41E-01,2.37E-01,-1.0614,1.0276,-0.47691
-0.67832,4.63E-01,5.85E-01,-1.65E-01,1.93E+00,-0.22966,-1.8473,0.49012,1.0715,-3.3191,1.5411,0.37372,-8.65E-01,-2.5827,0.97062,-0.51022,-0.68428,-1.6471,2.12E-01,-2.74E-01,1.73E+00,1.32E+00,-2.64E+00,-8.06E-02,-2.0351,-1.4612
-0.59664,-2.04E+00,2.06E+00,1.95E+00,1.76E-01,-2.1614,-0.40395,1.8016,-1.5628,-0.25253,0.23586,0.71657,1.0769,-0.35457,-1.6774,-0.12939,-0.67489,1.14E+00,1.32E+00,3.21E+00,-2.16E+00,-2.60E+00,-3.22E+00,-1.90E+00,-0.87488,2.5104
-0.87795,4.34E-01,-9.32E-01,1.84E-01,-0.36078,0.61958,0.38625,-2.6515,2.2971,-2.09E+00,-1.8638,1.06E+00,0.77562,2.1347,-1.1497,-0.52081,0.99743,-1.4831,-2.31E+00,2.95E-01,-3.87E-01,-2.21E+00,3.07E-01,-1.18E+00,-1.6346,-0.82468
-0.52747,1.22E+00,-1.50E+00,-2.03E+00,-1.52E+00,-2.4373,-2.3757,-1.3999,-0.88735,-0.63279,1.5045,-1.5808,0.58599,-0.7754,0.94257,2.11E+00,0.54479,4.38E-01,-1.28E+00,-4.36E-02,1.48E+00,-1.13E+00,-7.28E-01,4.73E-02,1.6575,1.6854
-0.74902,-7.22E-01,-3.15E+00,3.66E-01,0.19811,-0.7306,1.6526,-2.3004,-1.8747,0.98095,-1.5883,1.3543,2.18E+00,-1.9924,-2.0037,-0.38861,-2.3399,-2.92E+00,9.94E-01,-2.70E+00,-1.27E+00,1.86E+00,-1.21E+00,-0.38014,0.70872,-2.1101
-0.66655,5.36E-01,1.30E+00,-1.03E+00,-4.03E+00,0.58173,-2.6572,0.8038,-1.09E+00,2.50E+00,0.36201,0.66195,-9.22E-01,-8.31E-01,-2.002,-2.949,6.46E-01,-1.10E+00,7.45E-01,5.85E-01,-2.00E+00,6.26E-01,1.81E+00,-2.23E-01,-1.4044,-2.1319
-0.46089,-1.44E+00,-1.22E+00,7.11E-01,4.52E-01,-3.60E-01,0.62285,-0.67005,-0.70691,0.063114,-1.232,-1.75E+00,-2.7196,-2.2144,-1.6931,-0.90927,0.87852,1.1866,-1.87E+00,3.98E-01,1.72E+00,-1.37E+00,8.58E-01,-2.48E-01,1.2801,-1.3275
